Designator,Mid X,Mid Y,Rotation,Layer
C1,125.77,-34.925,0.0,top
C10,34.6925,-36.83,180.0,top
C11,28.077349,-86.995,180.0,top
C12,72.632599,-20.955,0.0,top
C13,125.432599,-93.345,0.0,top
C14,53.34,-61.3625,90.0,top
C2,116.84,-34.925,180.0,top
C3,109.22,-21.8225,90.0,top
C4,53.34,-21.8225,90.0,top
C5,68.58,-21.8225,90.0,top
C6,83.82,-21.8225,90.0,top
C7,78.74,-87.63,270.0,top
C8,127.0,-63.0975,90.0,top
C9,132.08,-41.0425,90.0,top
D1,129.785,-66.675,180.0,top
D10,45.72,-20.565,90.0,top
D11,48.26,-20.565,90.0,top
D12,50.8,-20.565,90.0,top
D13,35.56,-86.36,90.0,top
D2,129.785,-69.215,180.0,top
D3,129.785,-71.755,180.0,top
D4,129.785,-74.295,180.0,top
D5,129.785,-76.835,180.0,top
D6,129.785,-79.375,180.0,top
D7,129.785,-81.915,180.0,top
D8,129.785,-84.455,180.0,top
D9,43.18,-20.565,90.0,top
J1,82.55,-105.035,180.0,top
J10,41.885,-33.005,0.0,top
J11,135.865,-76.19,0.0,top
J2,137.135,-38.08,0.0,top
J3,125.74,-29.82,270.0,top
J4,127.015,-24.74,270.0,top
J5,137.185,-52.095,180.0,top
J6,27.305,-100.31,0.0,top
J7,64.765,-87.63,270.0,top
J8,72.385,-87.63,270.0,top
J9,41.91,-59.07,180.0,top
R1,30.115,-67.945,180.0,top
R2,34.29,-81.28,180.0,top
R3,139.7,-32.385,90.0,top
R4,41.91,-66.04,90.0,top
RN1,131.445,-63.435,180.0,top
RN2,131.445,-87.695,0.0,top
RN3,39.94,-20.575,270.0,top
SW1,34.925,-74.005,0.0,top
SW2,35.465,-95.21,0.0,top
U1,85.085,-76.195,90.0,top
U10,125.4,-51.4,270.0,top
U2,64.76,-41.925,0.0,top
U3,101.605,-41.925,0.0,top
U4,49.52,-39.375,0.0,top
U5,49.52,-74.94,0.0,top
U6,120.64,-75.56,0.0,top
U7,80.0,-41.925,0.0,top
U9,34.89,-61.595,0.0,top
X1,33.645,-46.995,0.0,top
Y1,121.83,-39.37,0.0,top
